threshold,recall,specificity,precision,f1,accuracy,tn,fp,fn,tp,profit,meets_recall,meets_specificity,meets_both,model,config,min_tpr_tnr
0.13,0.9779005524861878,0.10486517334855186,0.2368325021286948,0.381316098707403,0.298,735,6274,44,1947,399200,True,False,False,XGB,SPW=3.52,0.10486517334855186
0.13999999999999999,0.9738824711200402,0.1239834498501926,0.24000495110781037,0.3851042701092353,0.312,869,6140,52,1939,364800,True,False,False,XGB,SPW=3.52,0.1239834498501926
0.14999999999999997,0.9703666499246609,0.14838065344556997,0.24452600936590305,0.3906186817630408,0.3302222222222222,1040,5969,59,1932,356200,True,False,False,XGB,SPW=3.52,0.14838065344556997
0.15999999999999998,0.9673530889000502,0.16949636182051647,0.24861236607719117,0.3955637707948244,0.346,1188,5821,65,1926,349400,True,False,False,XGB,SPW=3.52,0.16949636182051647
0.16999999999999998,0.9623304871923657,0.19175345983735198,0.2527371059227015,0.4003343083994986,0.3622222222222222,1344,5665,75,1916,301800,True,False,False,XGB,SPW=3.52,0.19175345983735198
0.17999999999999997,0.9568056253139126,0.21158510486517335,0.2563584981832862,0.40437274464020373,0.37644444444444447,1483,5526,86,1905,236400,True,False,False,XGB,SPW=3.52,0.21158510486517335
0.18999999999999995,0.9502762430939227,0.23427022399771721,0.26064196170271386,0.4090810810810811,0.39266666666666666,1642,5367,99,1892,157000,True,False,False,XGB,SPW=3.52,0.23427022399771721
0.19999999999999996,0.9437468608739327,0.254529890141247,0.2644988738738739,0.4131940626717977,0.407,1784,5225,112,1879,70800,True,False,False,XGB,SPW=3.52,0.254529890141247
0.20999999999999996,0.9382219989954796,0.27607361963190186,0.2690867185249208,0.4182245606179335,0.4225555555555556,1935,5074,123,1868,10200,True,False,False,XGB,SPW=3.52,0.27607361963190186
0.21999999999999995,0.9306880964339528,0.2974746754173206,0.2734248192415523,0.42267335766423364,0.43755555555555553,2085,4924,138,1853,-94800,True,False,False,XGB,SPW=3.52,0.2974746754173206
0.22999999999999995,0.9241587142139628,0.31830503638179486,0.27802961619824723,0.4274596352654199,0.4523333333333333,2231,4778,151,1840,-179400,True,False,False,XGB,SPW=3.52,0.31830503638179486
0.23999999999999994,0.9141135107985937,0.3388500499357968,0.28199566160520606,0.43102427471876853,0.4661111111111111,2375,4634,171,1820,-341800,True,False,False,XGB,SPW=3.52,0.3388500499357968
0.24999999999999992,0.9060773480662984,0.35953773719503496,0.2866677260448117,0.4355383872525351,0.48044444444444445,2520,4489,187,1804,-459800,True,False,False,XGB,SPW=3.52,0.35953773719503496
0.2599999999999999,0.8985434455047715,0.3776572977600228,0.29084701674524466,0.4394497666421026,0.4928888888888889,2647,4362,202,1789,-574000,True,False,False,XGB,SPW=3.52,0.3776572977600228
0.2699999999999999,0.8905072827724761,0.3979169639035526,0.2958451526781245,0.4441382765531062,0.5068888888888889,2789,4220,218,1773,-693200,True,False,False,XGB,SPW=3.52,0.3979169639035526
0.2799999999999999,0.8784530386740331,0.4176059352261378,0.299948550848911,0.44720020455126563,0.5195555555555555,2927,4082,242,1749,-902000,True,False,False,XGB,SPW=3.52,0.4176059352261378
0.2899999999999999,0.8679055750878956,0.43900699101155655,0.3053003533568905,0.4517056593909293,0.5338888888888889,3077,3932,263,1728,-1073000,True,False,False,XGB,SPW=3.52,0.43900699101155655
0.29999999999999993,0.8603716725263687,0.46083606791268367,0.3119082301529498,0.4578377656020313,0.5492222222222222,3230,3779,278,1713,-1176800,True,False,False,XGB,SPW=3.52,0.46083606791268367
0.30999999999999994,0.8543445504771472,0.4796689970038522,0.3180628272251309,0.46355089249216513,0.5625555555555556,3362,3647,290,1701,-1256000,True,False,False,XGB,SPW=3.52,0.4796689970038522
0.3199999999999999,0.843294826720241,0.5002140105578542,0.32400617522192204,0.46814443050327625,0.5761111111111111,3506,3503,312,1679,-1440400,True,False,False,XGB,SPW=3.52,0.5002140105578542
0.32999999999999985,0.832245102963335,0.5186189185333143,0.3293579805207712,0.47194531472514945,0.588,3635,3374,334,1657,-1630800,True,False,False,XGB,SPW=3.52,0.5186189185333143
0.33999999999999986,0.8196885986941236,0.5333143101726352,0.33285743422394454,0.473455178416014,0.5966666666666667,3738,3271,359,1632,-1864600,True,False,False,XGB,SPW=3.52,0.5333143101726352
0.34999999999999987,0.808136614766449,0.5507205022114424,0.33816729718369065,0.47681137946362423,0.6076666666666667,3860,3149,382,1609,-2068800,True,False,False,XGB,SPW=3.52,0.5507205022114424
0.3599999999999999,0.7965846308387745,0.5731202739335141,0.34643949322848405,0.48287410564773947,0.6225555555555555,4017,2992,405,1586,-2259000,False,False,False,XGB,SPW=3.52,0.5731202739335141
0.3699999999999999,0.784028126569563,0.5932372663718076,0.35380779691749775,0.4875839450257691,0.6354444444444445,4158,2851,430,1561,-2477600,False,False,False,XGB,SPW=3.52,0.5932372663718076
0.3799999999999999,0.772978402812657,0.6137822799258097,0.3624587847385775,0.49350649350649345,0.649,4302,2707,452,1539,-2662000,False,False,False,XGB,SPW=3.52,0.6137822799258097
0.3899999999999999,0.7604218985434456,0.6340419460693394,0.3711694042657514,0.4988467874794069,0.662,4444,2565,477,1514,-2880200,False,False,False,XGB,SPW=3.52,0.6340419460693394
0.3999999999999998,0.7443495730788549,0.6497360536453132,0.3764287528575057,0.5,0.6706666666666666,4554,2455,509,1482,-3188200,False,False,False,XGB,SPW=3.52,0.6497360536453132
0.4099999999999998,0.730286288297338,0.6664288771579397,0.38343881856540085,0.502853190385613,0.6805555555555556,4671,2338,537,1454,-3449400,False,False,False,XGB,SPW=3.52,0.6664288771579397
0.4199999999999998,0.7147162230035158,0.6858325010700528,0.39255172413793105,0.5067663817663818,0.6922222222222222,4807,2202,568,1423,-3736000,False,False,False,XGB,SPW=3.52,0.6858325010700528
0.4299999999999998,0.6996484178804621,0.7033813668140961,0.4012096774193548,0.5099762035511624,0.7025555555555556,4930,2079,598,1393,-4016800,False,False,False,XGB,SPW=3.52,0.6996484178804621
0.43999999999999984,0.6896032144650929,0.7206448851476673,0.41218853197238065,0.5159714393085305,0.7137777777777777,5051,1958,618,1373,-4188400,False,False,False,XGB,SPW=3.52,0.6896032144650929
0.44999999999999984,0.6780512305374183,0.7351976030817521,0.42108546475358705,0.5195304983644411,0.7225555555555555,5153,1856,641,1350,-4400600,False,False,False,XGB,SPW=3.52,0.6780512305374183
0.45999999999999985,0.6690105474635861,0.7486089313739478,0.4305106658047835,0.5238938053097346,0.731,5247,1762,659,1332,-4561000,False,False,False,XGB,SPW=3.52,0.6690105474635861
0.46999999999999986,0.6599698643897539,0.7578827222142959,0.4363998671537695,0.525389844062375,0.7362222222222222,5312,1697,677,1314,-4733000,False,False,False,XGB,SPW=3.52,0.6599698643897539
0.47999999999999976,0.6504269211451532,0.7692966186331859,0.44471153846153844,0.5282480114215785,0.743,5392,1617,696,1295,-4910000,False,False,False,XGB,SPW=3.52,0.6504269211451532
0.48999999999999977,0.6393771973882472,0.7799971465258952,0.4522202486678508,0.5297544735746983,0.7488888888888889,5467,1542,718,1273,-5122000,False,False,False,XGB,SPW=3.52,0.6393771973882472
0.4999999999999998,0.6328478151682572,0.7899843058924241,0.4612005856515373,0.533559178488249,0.7552222222222222,5537,1472,731,1260,-5237000,False,False,False,XGB,SPW=3.52,0.6328478151682572
0.5099999999999998,0.6248116524359618,0.7995434441432444,0.46961117402793506,0.5362068965517242,0.7608888888888888,5604,1405,747,1244,-5386200,False,False,False,XGB,SPW=3.52,0.6248116524359618
0.5199999999999998,0.6167754897036665,0.8099586246254815,0.4796875,0.5396616128323446,0.7672222222222222,5677,1332,763,1228,-5533000,False,True,False,XGB,SPW=3.52,0.6167754897036665
0.5299999999999998,0.6042189854344551,0.8202311314024825,0.4884287454323995,0.5401885945217781,0.7724444444444445,5749,1260,788,1203,-5779200,False,True,False,XGB,SPW=3.52,0.6042189854344551
0.5399999999999998,0.5966850828729282,0.8283635326009416,0.4968632371392723,0.5422181652213601,0.7771111111111111,5806,1203,803,1188,-5921400,False,True,False,XGB,SPW=3.52,0.5966850828729282
0.5499999999999998,0.5891511803114013,0.8394920816093594,0.5104438642297651,0.5469806481697366,0.7841111111111111,5884,1125,818,1173,-6055200,False,True,False,XGB,SPW=3.52,0.5891511803114013
0.5599999999999997,0.5730788548468106,0.8474818091025824,0.516289592760181,0.5432039990478458,0.7867777777777778,5940,1069,850,1141,-6384800,False,True,False,XGB,SPW=3.52,0.5730788548468106
